,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
210,jsviveroj,djguzmanc,2,3,0.7142857142857143,2,1,0.0,5.0,6.0,3.0,3.0
211,JairVillalba,fevargasmo,2,3,0.736842105263158,2,1,2.0,3.0,4.0,4.0,1.0
212,nabautistal,jufcontrerasco,2,3,0.7692307692307692,2,1,0.0,0.0,5.0,2.0,3.0
213,adamantwharf,helmeraac,2,3,0.8,2,1,5.0,4.0,6.0,4.0,2.0
214,fevargasmo,gsuarezc04,2,3,0.8214285714285714,2,1,1.0,1.0,3.0,2.0,0.0
215,jsviveroj,jonatan360,2,3,0.8230088495575221,2,1,4.0,4.0,6.0,4.0,5.0
216,jsviveroj,daandradec,2,3,0.8509316770186335,2,1,2.0,2.0,6.0,2.0,0.0
217,jsviveroj,dsbarrerag,2,3,0.8780487804878049,2,1,0.0,4.0,5.0,2.0,1.0
218,miaborjaac,wolfstain,2,3,0.8943661971830986,2,1,3.0,3.0,6.0,0.0,3.0
219,daandradec,miaborjaac,2,3,0.8952879581151832,2,1,0.0,0.0,4.0,1.0,3.0
220,miaborjaac,ivdgonzalezco,2,3,0.9129032258064516,2,1,1.0,4.0,4.0,2.0,1.0
221,jcrubioa,oeroaq,2,3,0.9398797595190381,2,1,4.0,4.0,5.0,3.0,7.0
222,falperezgo,aldiazve,2,3,0.9519556513704959,2,1,0.0,3.0,6.0,3.0,1.0
223,aldiazve,falperezgo,2,3,0.9519556513704959,2,1,4.0,4.0,5.0,3.0,2.0
224,jmhurtadoc,jiapulidoar,2,3,0.9530026109660574,2,1,4.0,4.0,5.0,2.0,2.0
225,Semoralesga,jesusfchavarro,2,3,0.9640575079872205,2,1,4.0,3.0,6.0,3.0,10.0
226,Semoralesga,jesusfchavarro,2,3,0.9640575079872205,2,1,5.0,3.0,6.0,3.0,10.0
227,jesusfchavarro,Semoralesga,2,3,0.9641201370691392,2,1,4.0,3.0,4.0,2.0,2.0
228,maikellPardo,ItsNavi,3,4,0.0,3,1,1.0,2.0,5.0,2.0,0.0
229,andfsanchezlem,Zeugmax,3,4,0.0,3,1,1.0,3.0,5.0,2.0,0.0
230,ItsNavi,andfsanchezlem,3,4,0.0,3,1,0.0,1.0,3.0,1.0,1.0
231,Zeugmax,maikellPardo,3,4,0.0,3,1,4.0,4.0,4.0,2.0,0.0
232,joahernandezca,diegoaguevarar,3,4,0.1159420289855072,3,1,0.0,1.0,5.0,2.0,0.0
233,diegoaguevarar,joahernandezca,3,4,0.12857142857142856,3,1,1.0,1.0,0.0,0.0,0.0
234,joahernandezca,jmhurtadoc,3,4,0.18000000000000005,3,1,6.0,6.0,6.0,2.0,0.0
235,adamantwharf,dfhincapiem,3,4,0.25,3,1,4.0,1.0,5.0,1.0,0.0
