,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13
39,1.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,4.0,5.0
42,0.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
43,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,4.0,1.0,6.0
44,3.0,5.0,3.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,5.0,1.0
45,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0
46,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0
47,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,6.0
48,5.0,5.0,6.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0
49,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,1.0
50,6.0,6.0,0.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,4.0,6.0,3.0
51,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0
52,4.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,1.0
53,3.0,5.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,3.0
54,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,3.0
55,6.0,4.0,6.0,1.0,3.0,6.0,5.0,3.0,3.0,6.0,5.0,6.0,6.0
56,2.0,5.0,5.0,0.0,3.0,5.0,6.0,5.0,4.0,5.0,3.0,3.0,4.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
58,5.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0
59,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,0.0,2.0,5.0
60,0.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,3.0
