,Group,variable,value
758,2.0,tech-phase5,87.5
759,2.0,tech-phase5,87.5
760,2.0,tech-phase5,75.0
761,2.0,tech-phase5,37.5
762,2.0,tech-phase5,0.0
763,2.0,tech-phase5,62.5
764,2.0,tech-phase5,75.0
765,2.0,tech-phase5,100.0
766,2.0,tech-phase5,100.0
767,2.0,tech-phase5,100.0
768,2.0,tech-phase5,75.0
769,2.0,tech-phase5,62.5
770,2.0,tech-phase5,87.5
771,2.0,tech-phase5,87.5
772,2.0,tech-phase5,75.0
773,2.0,tech-phase5,100.0
774,2.0,tech-phase5,75.0
775,2.0,tech-phase5,75.0
776,2.0,tech-phase5,100.0
777,2.0,tech-phase5,75.0
778,2.0,tech-phase5,75.0
779,2.0,tech-phase5,87.5
