,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity,user2,novelty,ln_novelty
159,NicolasPrr,3,237.5,4,3.0,4.0,3.0,2.0,0.009359790340696368,NicolasPrr,0.8164556962025317,0.5968871827326543
160,jumcorredorro,3,53.329999999999984,4,1.0,1.0,5.0,2.0,0.013293943870014771,jumcorredorro,0.8516949152542372,0.6161013900699801
161,feartheGru,3,358.33,4,2.0,2.0,5.0,2.0,0.0,feartheGru,0.0,0.0
162,Danielsv9207,3,358.33,4,1.0,1.0,1.0,3.0,0.0,Danielsv9207,0.0,0.0
163,JhonEmmanuelTorres,3,358.33,4,5.0,4.0,5.0,2.0,0.0,JhonEmmanuelTorres,0.0,0.0
0,jusherrerama,2,177.5,1,,,,,0.022598870056497175,jusherrerama,0.7142857142857143,0.5389965007326871
1,bdvegat,2,260.0,1,1.0,2.0,4.0,1.0,0.054187192118226604,,0.0,0.0
2,Phoenixest,2,185.82999999999998,1,0.0,1.0,3.0,1.0,0.017964071856287425,,0.0,0.0
3,HashNick,2,260.0,1,1.0,3.0,5.0,3.0,0.023696682464454975,,0.0,0.0
4,ccvacad,2,260.0,1,1.0,0.0,4.0,2.0,0.0,ccvacad,0.0,0.0
5,joaortizro,2,152.5,1,0.0,2.0,2.0,1.0,0.04142011834319527,joaortizro,0.6296296296296297,0.4883527679139322
6,juasmartinezbel,2,8.330000000000013,1,0.0,5.0,5.0,2.0,0.03488372093023256,,0.0,0.0
7,mdbelloc,2,168.32999999999998,1,1.0,3.0,2.0,2.0,0.02830188679245283,mdbelloc,0.303030303030303,0.26469255422708216
8,diegocruz10,2,169.17000000000002,1,3.0,3.0,3.0,1.0,0.02830188679245283,diegocruz10,0.34375,0.2954642128938359
9,crarojasca,2,215.0,1,1.0,3.0,5.0,2.0,0.0,crarojasca,0.0,0.0
10,sagilm,2,210.0,1,0.0,0.0,3.0,1.0,0.017964071856287425,sagilm,0.4,0.3364722366212129
11,idrojasf,2,52.5,1,1.0,1.0,4.0,4.0,0.011984021304926764,,0.0,0.0
12,raulramirezp,2,260.0,1,1.0,2.0,5.0,2.0,0.035830618892508145,raulramirezp,0.912568306010929,0.6484470016420384
13,fabianr23,2,55.0,1,5.0,4.0,5.0,2.0,0.03902439024390244,,0.0,0.0
14,jhriverasa,2,117.08000000000001,1,1.0,3.0,2.0,2.0,0.04419889502762431,,0.0,0.0
15,jhonsd1996,2,160.0,1,3.0,4.0,4.0,2.0,0.017964071856287425,jhonsd1996,0.33333333333333337,0.287682072451781
16,JuanitoAli,2,160.0,1,1.0,1.0,5.0,2.0,0.00862422997946612,,0.0,0.0
17,Davsatu313,2,52.5,1,0.0,3.0,5.0,2.0,0.03783783783783784,Davsatu313,0.7027027027027026,0.5322168137473082
18,cesarochoa2006,2,173.32999999999998,1,0.0,1.0,6.0,0.0,0.022321428571428572,,0.0,0.0
19,jjmuesesq,2,177.5,1,0.0,3.0,2.0,2.0,0.01818181818181818,jjmuesesq,0.0,0.0
20,jucjimenezmo,2,247.5,1,0.0,0.0,3.0,2.0,0.017543859649122806,,0.0,0.0
21,kancas,2,222.5,1,0.0,0.0,5.0,2.0,0.04020100502512563,,0.0,0.0
22,Gantiva,2,144.17000000000002,1,2.0,4.0,3.0,2.0,0.046632124352331605,Gantiva,0.7272727272727273,0.5465437063680699
23,Dandarprox,2,154.57999999999998,1,0.0,1.0,4.0,2.0,0.05069124423963134,,0.0,0.0
24,debeltranc,2,97.5,1,1.0,4.0,4.0,1.0,0.00546448087431694,debeltranc,0.994535519125683,0.6904112007410705
25,ykchautai,2,98.33000000000001,1,4.0,4.0,4.0,1.0,0.034482758620689655,ykchautai,0.6956521739130435,0.5280674302004967
26,ligibrial,2,126.66999999999999,1,1.0,5.0,3.0,2.0,0.027932960893854747,ligibrial,0.8181818181818181,0.5978370007556204
27,davidrh195,2,260.0,1,3.0,3.0,5.0,1.0,0.01675977653631285,,0.0,0.0
28,JulianaNino,2,205.82999999999998,1,1.0,1.0,3.0,1.0,0.02702702702702703,JulianaNino,0.5,0.4054651081081644
29,luegilca,2,130.83,1,0.0,1.0,6.0,2.0,0.03664921465968586,luegilca,0.6097560975609756,0.4760826753221178
30,Yelis3,2,28.330000000000013,1,1.0,4.0,6.0,3.0,0.03553299492385787,,0.0,0.0
31,begarzonf,2,102.5,1,2.0,3.0,4.0,2.0,0.012110726643598616,begarzonf,0.9481641468682506,0.6668874659763897
32,kmendezp96,2,74.16999999999999,1,1.0,5.0,6.0,1.0,0.022026431718061675,kmendezp96,0.6486486486486487,0.49995595152908684
33,leguzman,2,106.66999999999999,1,0.0,2.0,5.0,2.0,0.03211009174311927,,0.0,0.0
34,luealfonsoru,2,105.83000000000001,1,3.0,4.0,4.0,2.0,0.0375,,0.0,0.0
35,oserasoa,2,205.82999999999998,1,4.0,3.0,3.0,1.0,0.041666666666666664,,0.0,0.0
36,lsfinite,2,197.5,1,1.0,1.0,6.0,3.0,0.008256141763995167,lsfinite,0.9803075768942235,0.6832521745079151
37,xdanielsb,2,0.0,1,3.0,3.0,3.0,2.0,,,0.0,0.0
38,CSebasGomez,2,260.0,1,3.0,3.0,5.0,2.0,0.0,,0.0,0.0
39,jhcardenasa,2,260.0,1,4.0,4.0,5.0,3.0,0.007906783187682065,,0.0,0.0
40,tres-iqus,2,260.0,1,1.0,1.0,4.0,0.0,,,0.0,0.0
41,jscontrerasp,2,260.0,1,1.0,1.0,4.0,0.0,0.03314917127071823,,0.0,0.0
42,jusherrerama,2,168.33,2,,,,,0.09375,jusherrerama,0.7631578947368421,0.5671064596645803
43,bdvegat,2,235.0,2,1.0,2.0,4.0,1.0,0.12941176470588237,bdvegat,0.7903225806451613,0.5823958162672426
44,Phoenixest,2,218.32999999999998,2,0.0,1.0,3.0,1.0,0.06,Phoenixest,0.4,0.3364722366212129
45,HashNick,2,221.67000000000002,2,1.0,3.0,5.0,3.0,0.06837606837606838,HashNick,0.7640449438202247,0.5676094356161683
46,ccvacad,2,317.5,2,1.0,0.0,4.0,2.0,0.0,ccvacad,0.0,0.0
47,joaortizro,2,61.670000000000016,2,0.0,2.0,2.0,1.0,0.09836065573770492,joaortizro,0.64,0.4946962418361071
