,Unnamed: 0,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,total,user-requirement,infovis,novelty_score
453,463,jesusfchavarro,4,0.262413679710621,1,16.67,jesusfchavarro,4.0,3.0,6.0,3.0,6.0,345.0,100.0,62.5,82.5
454,464,jesusfchavarro,4,0.262413679710621,1,16.67,jesusfchavarro,5.0,3.0,6.0,3.0,6.0,345.0,100.0,62.5,82.5
455,464,jesusfchavarro,4,0.262413679710621,1,16.67,jesusfchavarro,5.0,3.0,6.0,3.0,6.0,345.0,100.0,62.5,82.5
456,465,nabautistal,4,0.388888888888889,1,259.17,nabautistal,0.0,0.0,3.0,1.0,1.0,195.0,20.0,50.0,62.5
457,466,diegoaguevarar,4,0.409090909090909,1,37.5,diegoaguevarar,0.0,1.0,5.0,2.0,2.0,317.5,80.0,62.5,87.5
458,467,bdcajicam,4,0.484375,1,175.83,bdcajicam,0.0,2.0,5.0,2.0,0.0,206.67,40.0,29.17,62.5
459,468,gasierram,4,0.484375,1,189.17,gasierram,3.0,4.0,5.0,4.0,2.0,190.0,40.0,62.5,25.0
460,469,helmeraac,4,0.651741293532338,1,263.33,helmeraac,5.0,4.0,6.0,4.0,1.0,87.5,0.0,25.0,0.0
461,470,jsnarvaezb,4,0.65625,1,105.83,jsnarvaezb,0.0,1.0,3.0,2.0,0.0,211.67,20.0,54.17,50.0
462,471,jcrubioa,4,0.660968660968661,1,134.17,jcrubioa,0.0,0.0,5.0,2.0,0.0,246.25,40.0,50.0,81.25
463,472,jufcontrerasco,4,0.666666666666667,1,188.33,jufcontrerasco,0.0,0.0,5.0,2.0,0.0,264.17,60.0,79.17,50.0
464,473,jsviveroj,4,0.68421052631579,1,69.17,jsviveroj,1.0,3.0,4.0,2.0,2.0,331.67,80.0,79.17,72.5
465,474,JairVillalba,4,0.72,1,287.5,JairVillalba,1.0,1.0,3.0,2.0,6.0,75.0,0.0,0.0,0.0
466,475,djguzmanc,4,0.745283018867925,1,57.71,djguzmanc,0.0,5.0,6.0,3.0,0.0,334.17,80.0,79.17,100.0
467,476,stevenbustos,4,0.759259259259259,1,234.17,stevenbustos,0.0,1.0,0.0,1.0,1.0,198.33,20.0,33.33,70.0
468,477,fevargasmo,4,0.795918367346939,1,101.67,fevargasmo,2.0,3.0,4.0,4.0,2.0,240.0,40.0,50.0,75.0
469,478,dsbarrerag,4,0.805194805194805,1,65.0,dsbarrerag,0.0,4.0,5.0,2.0,1.0,330.0,80.0,70.83,91.67
470,479,anfmorenoso,4,0.815126050420168,1,171.67,anfmorenoso,0.0,2.0,5.0,2.0,1.0,217.5,40.0,37.5,52.5
471,480,jonatan360,4,0.829545454545455,1,6.67000000000002,jonatan360,4.0,4.0,6.0,4.0,9.0,352.5,100.0,75.0,77.5
472,481,gsuarezc04,4,0.858823529411765,1,300.0,gsuarezc04,1.0,1.0,3.0,2.0,0.0,50.0,0.0,25.0,0.0
473,482,miaborjaac,4,0.86046511627907,1,48.33,miaborjaac,0.0,0.0,4.0,1.0,6.0,323.33,80.0,70.83,85.0
474,483,gfalbarracinr,4,0.864485981308411,1,300.0,gfalbarracinr,1.0,1.0,5.0,2.0,1.0,100.0,0.0,25.0,0.0
475,484,dasalgadob,4,0.870967741935484,1,125.0,dasalgadob,1.0,2.0,4.0,3.0,0.0,100.0,0.0,25.0,25.0
476,485,Christian7sr,4,0.88,1,225.83,Christian7sr,3.0,3.0,3.0,2.0,5.0,124.17,20.0,29.17,0.0
477,486,daandradec,4,0.882640586797066,1,31.25,daandradec,2.0,2.0,6.0,2.0,3.0,336.67,100.0,66.67,95.0
478,487,wolfstain,4,0.890804597701149,1,146.67,wolfstain,3.0,3.0,6.0,0.0,0.0,197.08,20.0,33.33,56.25
479,488,ivdgonzalezco,4,0.902077151335312,1,185.0,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0,312.5,100.0,50.0,87.5
480,489,jiapulidoar,4,0.952076677316294,1,72.5,jiapulidoar,4.0,4.0,5.0,2.0,2.0,310.0,60.0,83.33,66.67
481,490,aldiazve,4,0.96159179145868,1,90.0,aldiazve,0.0,3.0,6.0,3.0,3.0,236.67,20.0,54.17,75.0
482,491,falperezgo,4,0.965675057208238,1,72.5,falperezgo,4.0,4.0,5.0,3.0,1.0,228.33,20.0,45.83,62.5
483,492,fffeelipe,1,0.0,0,201.66,fffeelipe,1.0,0.0,5.0,3.0,1.0,172.5,60.0,37.5,0.0
484,493,jdsolanos,1,0.0,0,238.33,jdsolanos,1.0,1.0,5.0,2.0,0.0,12.5,0.0,0.0,0.0
485,494,annipi,1,0.0,0,300.83,annipi,1.0,0.0,4.0,2.0,0.0,12.5,0.0,0.0,0.0
486,495,jcneivaa,1,0.0,0,300.83,jcneivaa,0.0,0.0,4.0,2.0,0.0,12.5,0.0,0.0,0.0
487,496,juanescai,1,0.0,0,188.33,juanescai,1.0,2.0,5.0,2.0,1.0,62.5,0.0,25.0,25.0
